"","",""
"TABLE 1","",""
"","",""
"Momentum
Range
[GeV/c]","Mean
Momentum
[GeV/c]","Differential
Intensity"
"0.2 - 0.5
0.5 - 0.8
0.8 - 2.0
2.0 - 4.0
4,0 - 6.0","0.34
0.64
1.32
2.86
4.91","(3.92 +0.62) 10-3
(3.59 +0.49) . 10-3
(2.57 +0.29) . 10-3
(1.11 +0.13) . 10-3
(4.13 +0.59) . 10-4"
"0.98 - 1.24","1.11","(2.90 +0.20).10-3"
"0.2 - 0.4
0.4 - 0.6
0.6 - 1.0
1.0 - 1.5
1.5 - 2.5
2.5 - 4.0
4,0 - 6.0
6.0 - 10","0.29
0,50
0.79
1.24
1.95
3.17
4.91
7.76","(3,57 +0.35) . 10-3
(3.70 +0.35) & 10-3
(3.41 +0.28) . 10-3
(2.73 +0.23) . 10-3
(1.73 +0.15) . 10-3
(7,92 +0.65) . 10-4
(4.24 +0.37) . 10-4
(1.84 +0.17). ."
"10 13
13 17
17 - 25
25 - - 40
40 - 70
70 - 128
128 - 250
250 - 450","11.4
14.8
20.5
31.4
52.3
93.0
175.0
329.0","(1.13 +0.01).1 .
(6.04 +0.08) 10-5
(2.51 +0.03) . 10-5
(8.01 +0.13) . 10-6
(1.89 +0,05).1 10-6
(3.38 +0.14) . 10-7
(5.19 +0.37) . 10-8
(7.84 +1.12).10-9 ."
"450 - 1000","642.0","(6.40 +1.92).1"
